Time Interval,Data
1,"{""rack1"": {""SKU"": [""Kelloggs Chocos Fills"", ""Kelloggs Corn Flakes"", ""Maggi Tomato Ketchup""], ""SKU Count"": [10, 7, 8], ""Type"": [""Existing"", ""Existing"", ""Newly Added""]}, ""rack2"": {""SKU"": [""Nutella"", ""Quaker Oats"", ""Snickers Family Treat"", ""Snickers Family Treats""], ""SKU Count"": [1, 3, 7, 2], ""Type"": [""Existing"", ""Existing"", ""Newly Added"", ""Existing""]}}"
2,"{""rack1"": {""SKU"": [""Kelloggs Chocos Fills"", ""Kelloggs Corn Flakes"", ""Maggi Tomato Ketchup""], ""SKU Count"": [5, 4, 9], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Nutella"", ""Quaker Oats"", ""Snickers Family Treat"", ""Snickers Family Treats""], ""SKU Count"": [6, 1, 1, 7], ""Type"": [""Existing"", ""Existing"", ""Existing"", ""Existing""]}}"
3,"{""rack1"": {""SKU"": [""Kelloggs Chocos Fills"", ""Kelloggs Corn Flakes"", ""Maggi Tomato Ketchup""], ""SKU Count"": [6, 3, 3], ""Type"": [""Existing"", ""Existing"", ""Newly Added""]}, ""rack2"": {""SKU"": [""Nutella"", ""Quaker Oats"", ""Snickers Family Treat"", ""Snickers Family Treats""], ""SKU Count"": [5, 6, 6, 1], ""Type"": [""Newly Added"", ""Existing"", ""Existing"", ""Existing""]}}"
4,"{""rack1"": {""SKU"": [""Kelloggs Chocos Fills"", ""Kelloggs Corn Flakes"", ""Maggi Tomato Ketchup""], ""SKU Count"": [9, 2, 3], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Nutella"", ""Quaker Oats"", ""Snickers Family Treat"", ""Snickers Family Treats""], ""SKU Count"": [2, 1, 5, 10], ""Type"": [""Newly Added"", ""Existing"", ""Newly Added"", ""Existing""]}}"
5,"{""rack1"": {""SKU"": [""Kelloggs Chocos Fills"", ""Kelloggs Corn Flakes"", ""Maggi Tomato Ketchup""], ""SKU Count"": [10, 3, 4], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Nutella"", ""Quaker Oats"", ""Snickers Family Treat"", ""Snickers Family Treats""], ""SKU Count"": [6, 2, 2, 7], ""Type"": [""Existing"", ""Existing"", ""Existing"", ""Existing""]}}"
6,"{""rack1"": {""SKU"": [""Kelloggs Chocos Fills"", ""Kelloggs Corn Flakes"", ""Maggi Tomato Ketchup""], ""SKU Count"": [3, 5, 10], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Nutella"", ""Quaker Oats"", ""Snickers Family Treat"", ""Snickers Family Treats""], ""SKU Count"": [1, 10, 8, 8], ""Type"": [""Existing"", ""Existing"", ""Existing"", ""Existing""]}}"
7,"{""rack1"": {""SKU"": [""Kelloggs Chocos Fills"", ""Kelloggs Corn Flakes"", ""Maggi Tomato Ketchup""], ""SKU Count"": [9, 3, 4], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Nutella"", ""Quaker Oats"", ""Snickers Family Treat"", ""Snickers Family Treats""], ""SKU Count"": [8, 3, 6, 3], ""Type"": [""Existing"", ""Existing"", ""Newly Added"", ""Existing""]}}"
8,"{""rack1"": {""SKU"": [""Kelloggs Chocos Fills"", ""Kelloggs Corn Flakes"", ""Maggi Tomato Ketchup""], ""SKU Count"": [1, 1, 6], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Nutella"", ""Quaker Oats"", ""Snickers Family Treat"", ""Snickers Family Treats""], ""SKU Count"": [10, 7, 6, 2], ""Type"": [""Existing"", ""Existing"", ""Existing"", ""Existing""]}}"
9,"{""rack1"": {""SKU"": [""Kelloggs Chocos Fills"", ""Kelloggs Corn Flakes"", ""Maggi Tomato Ketchup""], ""SKU Count"": [6, 7, 5], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Nutella"", ""Quaker Oats"", ""Snickers Family Treat"", ""Snickers Family Treats""], ""SKU Count"": [7, 4, 6, 2], ""Type"": [""Existing"", ""Existing"", ""Existing"", ""Existing""]}}"
10,"{""rack1"": {""SKU"": [""Kelloggs Chocos Fills"", ""Kelloggs Corn Flakes"", ""Maggi Tomato Ketchup""], ""SKU Count"": [8, 8, 1], ""Type"": [""Existing"", ""Existing"", ""Existing""]}, ""rack2"": {""SKU"": [""Nutella"", ""Quaker Oats"", ""Snickers Family Treat"", ""Snickers Family Treats""], ""SKU Count"": [8, 2, 9, 9], ""Type"": [""Newly Added"", ""Existing"", ""Existing"", ""Existing""]}}"
