Time Interval,Data
1,"{""rack1"": {""SKU"": [""Kellogg's Froot Loops"", ""Heinz Tomato Ketchup"", ""Maggi Tomato Ketchup""], ""SKU Count"": [2, -5, 5], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Twix"", ""KitKat"", ""Quaker Oats""], ""SKU Count"": [5, -1, -2], ""Type"": [""Newly Added"", ""Newly Added"", ""Net""]}, ""rack3"": {""SKU"": [""Heinz Tomato Ketchup"", ""KitKat"", ""Twix""], ""SKU Count"": [5, -3, 5], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Quaker Oats"", ""Maggi Tomato Ketchup"", ""Kellogg's Froot Loops""], ""SKU Count"": [0, 2, -5], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Twix"", ""Heinz Tomato Ketchup"", ""Quaker Oats""], ""SKU Count"": [-2, -2, 4], ""Type"": [""Net"", ""Newly Added"", ""Net""]}}"
2,"{""rack1"": {""SKU"": [""KitKat"", ""Quaker Oats"", ""Kellogg's Froot Loops""], ""SKU Count"": [3, 5, -1], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Twix"", ""Heinz Tomato Ketchup"", ""Maggi Tomato Ketchup""], ""SKU Count"": [2, -3, -4], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Kellogg's Froot Loops"", ""Twix"", ""KitKat""], ""SKU Count"": [4, -2, 3], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Heinz Tomato Ketchup"", ""Maggi Tomato Ketchup"", ""Quaker Oats""], ""SKU Count"": [2, -5, -4], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Quaker Oats"", ""Kellogg's Froot Loops"", ""KitKat""], ""SKU Count"": [3, -4, 3], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
3,"{""rack1"": {""SKU"": [""Maggi Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Twix""], ""SKU Count"": [5, 3, 4], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""KitKat"", ""Heinz Tomato Ketchup"", ""Quaker Oats""], ""SKU Count"": [3, 5, -2], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Twix"", ""Quaker Oats"", ""Heinz Tomato Ketchup""], ""SKU Count"": [-1, -4, 4], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Twix"", ""Heinz Tomato Ketchup"", ""Maggi Tomato Ketchup""], ""SKU Count"": [1, -1, -2], ""Type"": [""Net"", ""Newly Added"", ""Net""]}, ""rack5"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Twix""], ""SKU Count"": [3, 3, -5], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
4,"{""rack1"": {""SKU"": [""Kellogg's Froot Loops"", ""KitKat"", ""Quaker Oats""], ""SKU Count"": [-2, -4, -1], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Heinz Tomato Ketchup"", ""Twix"", ""Maggi Tomato Ketchup""], ""SKU Count"": [2, -5, 1], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Maggi Tomato Ketchup"", ""Quaker Oats"", ""Twix""], ""SKU Count"": [4, 4, -5], ""Type"": [""Net"", ""Net"", ""Newly Added""]}, ""rack4"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Maggi Tomato Ketchup""], ""SKU Count"": [-4, -5, -1], ""Type"": [""Net"", ""Newly Added"", ""Net""]}, ""rack5"": {""SKU"": [""Kellogg's Froot Loops"", ""Heinz Tomato Ketchup"", ""Twix""], ""SKU Count"": [5, 3, 3], ""Type"": [""Net"", ""Newly Added"", ""Net""]}}"
5,"{""rack1"": {""SKU"": [""Maggi Tomato Ketchup"", ""Twix"", ""Quaker Oats""], ""SKU Count"": [-1, -5, 1], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""KitKat""], ""SKU Count"": [2, -5, 0], ""Type"": [""Net"", ""Newly Added"", ""Net""]}, ""rack3"": {""SKU"": [""Heinz Tomato Ketchup"", ""Quaker Oats"", ""Twix""], ""SKU Count"": [-5, -5, -3], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Kellogg's Froot Loops"", ""KitKat"", ""Quaker Oats""], ""SKU Count"": [3, -4, -2], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""KitKat"", ""Twix"", ""Maggi Tomato Ketchup""], ""SKU Count"": [-2, 5, 4], ""Type"": [""Net"", ""Net"", ""Net""]}}"
6,"{""rack1"": {""SKU"": [""Kellogg's Froot Loops"", ""KitKat"", ""Quaker Oats""], ""SKU Count"": [2, 2, 1], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Maggi Tomato Ketchup"", ""Twix"", ""Heinz Tomato Ketchup""], ""SKU Count"": [0, 5, 5], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Maggi Tomato Ketchup"", ""KitKat"", ""Kellogg's Froot Loops""], ""SKU Count"": [3, 3, 5], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Quaker Oats"", ""Twix"", ""Heinz Tomato Ketchup""], ""SKU Count"": [-5, 0, -1], ""Type"": [""Net"", ""Net"", ""Newly Added""]}, ""rack5"": {""SKU"": [""Twix"", ""Maggi Tomato Ketchup"", ""Kellogg's Froot Loops""], ""SKU Count"": [0, 0, 0], ""Type"": [""Net"", ""Net"", ""Net""]}}"
7,"{""rack1"": {""SKU"": [""Maggi Tomato Ketchup"", ""Quaker Oats"", ""Heinz Tomato Ketchup""], ""SKU Count"": [0, -1, 0], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Twix"", ""KitKat"", ""Kellogg's Froot Loops""], ""SKU Count"": [5, 1, 2], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Heinz Tomato Ketchup"", ""KitKat"", ""Maggi Tomato Ketchup""], ""SKU Count"": [-4, 3, 2], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""KitKat"", ""Maggi Tomato Ketchup"", ""Twix""], ""SKU Count"": [5, 0, -2], ""Type"": [""Net"", ""Newly Added"", ""Net""]}, ""rack5"": {""SKU"": [""KitKat"", ""Heinz Tomato Ketchup"", ""Twix""], ""SKU Count"": [-4, 3, -5], ""Type"": [""Net"", ""Net"", ""Net""]}}"
8,"{""rack1"": {""SKU"": [""Twix"", ""KitKat"", ""Heinz Tomato Ketchup""], ""SKU Count"": [1, 3, -2], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Quaker Oats"", ""Maggi Tomato Ketchup"", ""Kellogg's Froot Loops""], ""SKU Count"": [-3, 4, -1], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""KitKat"", ""Twix"", ""Maggi Tomato Ketchup""], ""SKU Count"": [1, -3, 5], ""Type"": [""Net"", ""Net"", ""Newly Added""]}, ""rack4"": {""SKU"": [""Quaker Oats"", ""Twix"", ""Kellogg's Froot Loops""], ""SKU Count"": [4, -3, -1], ""Type"": [""Net"", ""Newly Added"", ""Net""]}, ""rack5"": {""SKU"": [""Kellogg's Froot Loops"", ""Maggi Tomato Ketchup"", ""Heinz Tomato Ketchup""], ""SKU Count"": [-1, 2, 0], ""Type"": [""Net"", ""Net"", ""Net""]}}"
9,"{""rack1"": {""SKU"": [""Maggi Tomato Ketchup"", ""KitKat"", ""Quaker Oats""], ""SKU Count"": [2, -4, 1], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Kellogg's Froot Loops"", ""Twix"", ""Heinz Tomato Ketchup""], ""SKU Count"": [-3, 1, -4], ""Type"": [""Newly Added"", ""Net"", ""Newly Added""]}, ""rack3"": {""SKU"": [""Maggi Tomato Ketchup"", ""Twix"", ""KitKat""], ""SKU Count"": [1, 0, 0], ""Type"": [""Net"", ""Newly Added"", ""Net""]}, ""rack4"": {""SKU"": [""Twix"", ""KitKat"", ""Kellogg's Froot Loops""], ""SKU Count"": [5, 2, 3], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""KitKat"", ""Twix"", ""Quaker Oats""], ""SKU Count"": [5, -3, 3], ""Type"": [""Net"", ""Newly Added"", ""Net""]}}"
10,"{""rack1"": {""SKU"": [""Maggi Tomato Ketchup"", ""Heinz Tomato Ketchup"", ""Quaker Oats""], ""SKU Count"": [-4, -4, 4], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""KitKat"", ""Kellogg's Froot Loops"", ""Twix""], ""SKU Count"": [5, 3, 4], ""Type"": [""Net"", ""Newly Added"", ""Net""]}, ""rack3"": {""SKU"": [""Kellogg's Froot Loops"", ""Maggi Tomato Ketchup"", ""KitKat""], ""SKU Count"": [-5, -5, -4], ""Type"": [""Net"", ""Net"", ""Newly Added""]}, ""rack4"": {""SKU"": [""Kellogg's Froot Loops"", ""KitKat"", ""Heinz Tomato Ketchup""], ""SKU Count"": [-1, 5, -4], ""Type"": [""Net"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""KitKat"", ""Maggi Tomato Ketchup"", ""Quaker Oats""], ""SKU Count"": [5, -2, -2], ""Type"": [""Net"", ""Newly Added"", ""Newly Added""]}}"
