Time Interval,Data
1,"{""rack1"": {""SKU"": [""Nestle Celelac"", ""Pringles"", ""Protinex""], ""SKU Count"": [4, -8, 4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Nestle Celelac"", ""Twix"", ""Heinz Tomato Ketchup""], ""SKU Count"": [4, 6, 4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Twix"", ""Heinz Tomato Ketchup"", ""Pringles""], ""SKU Count"": [6, -8, 1], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Protinex"", ""Twix"", ""Heinz Tomato Ketchup""], ""SKU Count"": [7, -2, 4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Twix"", ""Pringles"", ""Heinz Tomato Ketchup""], ""SKU Count"": [7, 6, -7], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
2,"{""rack1"": {""SKU"": [""Kellogg's Froot Loops"", ""Protinex"", ""Pringles""], ""SKU Count"": [5, -5, -8], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Protinex"", ""Nestle Celelac"", ""Twix""], ""SKU Count"": [5, 9, 8], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Heinz Tomato Ketchup"", ""Nestle Celelac"", ""Protinex""], ""SKU Count"": [4, -7, 5], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Pringles"", ""Heinz Tomato Ketchup"", ""Nestle Celelac""], ""SKU Count"": [7, 0, -5], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Pringles"", ""Twix"", ""Nestle Celelac""], ""SKU Count"": [5, -9, -2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
3,"{""rack1"": {""SKU"": [""Nestle Celelac"", ""Pringles"", ""Twix""], ""SKU Count"": [1, -1, -3], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Protinex"", ""Kellogg's Froot Loops"", ""Heinz Tomato Ketchup""], ""SKU Count"": [10, 0, -6], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Nestle Celelac"", ""Twix"", ""Heinz Tomato Ketchup""], ""SKU Count"": [1, 4, -9], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Nestle Celelac"", ""Twix"", ""Pringles""], ""SKU Count"": [7, 5, 4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Pringles"", ""Kellogg's Froot Loops"", ""Heinz Tomato Ketchup""], ""SKU Count"": [4, -6, 3], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
4,"{""rack1"": {""SKU"": [""Pringles"", ""Heinz Tomato Ketchup"", ""Twix""], ""SKU Count"": [4, -6, 2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Nestle Celelac"", ""Protinex"", ""Pringles""], ""SKU Count"": [3, 2, 9], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Protinex"", ""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops""], ""SKU Count"": [1, 7, -1], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Heinz Tomato Ketchup"", ""Nestle Celelac"", ""Kellogg's Froot Loops""], ""SKU Count"": [10, 6, -2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Twix"", ""Pringles"", ""Nestle Celelac""], ""SKU Count"": [5, 10, 6], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
5,"{""rack1"": {""SKU"": [""Protinex"", ""Twix"", ""Pringles""], ""SKU Count"": [7, 3, 6], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Twix""], ""SKU Count"": [9, 2, -2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Kellogg's Froot Loops"", ""Pringles"", ""Heinz Tomato Ketchup""], ""SKU Count"": [5, 2, 8], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Nestle Celelac"", ""Pringles"", ""Heinz Tomato Ketchup""], ""SKU Count"": [1, -5, 0], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Heinz Tomato Ketchup"", ""Twix"", ""Pringles""], ""SKU Count"": [9, 9, -2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
6,"{""rack1"": {""SKU"": [""Protinex"", ""Pringles"", ""Twix""], ""SKU Count"": [3, -4, -10], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Protinex"", ""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops""], ""SKU Count"": [7, -9, 7], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Protinex"", ""Heinz Tomato Ketchup"", ""Nestle Celelac""], ""SKU Count"": [8, -8, 8], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Nestle Celelac"", ""Heinz Tomato Ketchup"", ""Twix""], ""SKU Count"": [7, -5, 5], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Pringles"", ""Nestle Celelac"", ""Protinex""], ""SKU Count"": [4, 0, 2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
7,"{""rack1"": {""SKU"": [""Twix"", ""Heinz Tomato Ketchup"", ""Pringles""], ""SKU Count"": [10, 8, 2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Heinz Tomato Ketchup"", ""Pringles"", ""Nestle Celelac""], ""SKU Count"": [6, 10, -4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Twix"", ""Nestle Celelac"", ""Pringles""], ""SKU Count"": [9, -9, 2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Nestle Celelac"", ""Heinz Tomato Ketchup"", ""Pringles""], ""SKU Count"": [6, 1, 4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Pringles""], ""SKU Count"": [1, -7, -4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
8,"{""rack1"": {""SKU"": [""Nestle Celelac"", ""Twix"", ""Kellogg's Froot Loops""], ""SKU Count"": [1, 0, -2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Nestle Celelac"", ""Kellogg's Froot Loops"", ""Heinz Tomato Ketchup""], ""SKU Count"": [1, -3, 0], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Heinz Tomato Ketchup"", ""Protinex"", ""Nestle Celelac""], ""SKU Count"": [3, -1, -1], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Twix"", ""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops""], ""SKU Count"": [5, 7, 8], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Nestle Celelac"", ""Pringles"", ""Protinex""], ""SKU Count"": [2, -6, -8], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
9,"{""rack1"": {""SKU"": [""Nestle Celelac"", ""Protinex"", ""Twix""], ""SKU Count"": [5, -10, -6], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Protinex"", ""Pringles"", ""Nestle Celelac""], ""SKU Count"": [3, 8, 1], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Kellogg's Froot Loops"", ""Nestle Celelac"", ""Twix""], ""SKU Count"": [2, 0, 3], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Kellogg's Froot Loops"", ""Protinex"", ""Twix""], ""SKU Count"": [7, -2, 10], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Kellogg's Froot Loops"", ""Twix"", ""Pringles""], ""SKU Count"": [8, 3, 10], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
10,"{""rack1"": {""SKU"": [""Kellogg's Froot Loops"", ""Heinz Tomato Ketchup"", ""Twix""], ""SKU Count"": [6, -8, 9], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Heinz Tomato Ketchup"", ""Protinex"", ""Kellogg's Froot Loops""], ""SKU Count"": [9, 4, 6], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Protinex"", ""Nestle Celelac"", ""Heinz Tomato Ketchup""], ""SKU Count"": [4, -5, -5], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops"", ""Protinex""], ""SKU Count"": [8, -1, -1], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Pringles"", ""Kellogg's Froot Loops"", ""Protinex""], ""SKU Count"": [9, 3, 9], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
11,"{""rack1"": {""SKU"": [""Protinex"", ""Nestle Celelac"", ""Pringles""], ""SKU Count"": [1, 10, -2], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Nestle Celelac"", ""Pringles"", ""Heinz Tomato Ketchup""], ""SKU Count"": [4, 8, 4], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Pringles"", ""Heinz Tomato Ketchup"", ""Protinex""], ""SKU Count"": [4, 8, 7], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Nestle Celelac"", ""Protinex"", ""Pringles""], ""SKU Count"": [6, -3, -7], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Pringles"", ""Twix"", ""Protinex""], ""SKU Count"": [9, -7, -7], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
12,"{""rack1"": {""SKU"": [""Heinz Tomato Ketchup"", ""Nestle Celelac"", ""Protinex""], ""SKU Count"": [4, 5, 0], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack2"": {""SKU"": [""Nestle Celelac"", ""Pringles"", ""Kellogg's Froot Loops""], ""SKU Count"": [7, -1, 9], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack3"": {""SKU"": [""Pringles"", ""Heinz Tomato Ketchup"", ""Kellogg's Froot Loops""], ""SKU Count"": [6, -9, 7], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack4"": {""SKU"": [""Kellogg's Froot Loops"", ""Protinex"", ""Heinz Tomato Ketchup""], ""SKU Count"": [6, -3, 3], ""Type"": [""Newly Added"", ""Net"", ""Net""]}, ""rack5"": {""SKU"": [""Heinz Tomato Ketchup"", ""Pringles"", ""Twix""], ""SKU Count"": [9, 9, -10], ""Type"": [""Newly Added"", ""Net"", ""Net""]}}"
